url,status,scheme,host,port,latency_ms,ip_version,score,sources,networks,tags,detail
udp://evan.im:6969/announce,alive,udp,evan.im,6969,66.4,ipv4,1357.34,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,BEP 15 connect response
udp://tracker.0x7c0.com:6969/announce,alive,udp,tracker.0x7c0.com,6969,33.3,ipv4,1355.74,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,BEP 15 connect response
udp://tracker.opentrackr.org:1337/announce,alive,udp,tracker.opentrackr.org,1337,141.6,ipv4,1349.22,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | newTrackon all | ngosang all,public,anime,BEP 15 connect response
udp://tracker-udp.gbitt.info:80/announce,alive,udp,tracker-udp.gbitt.info,80,145.7,ipv4,1349.21,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | newTrackon all | newTrackon stable | ngosang all,public,anime,BEP 15 connect response
udp://open.stealth.si:80/announce,alive,udp,open.stealth.si,80,155.7,ipv4,1347.98,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | newTrackon all | newTrackon stable | ngosang all,public,anime,BEP 15 connect response
udp://tracker.farted.net:6969/announce,alive,udp,tracker.farted.net,6969,163.4,ipv4,1346.72,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | newTrackon all | newTrackon stable | ngosang all,public,anime,BEP 15 connect response
udp://mail.segso.net:6969/announce,alive,udp,mail.segso.net,6969,171.0,ipv4,1346.0,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | newTrackon all | newTrackon stable | ngosang all,public,anime,BEP 15 connect response
udp://open.demonii.com:1337/announce,alive,udp,open.demonii.com,1337,136.9,ipv4,1345.4,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | newTrackon all | ngosang all,public,anime,BEP 15 connect response
udp://tracker.qu.ax:6969/announce,alive,udp,tracker.qu.ax,6969,161.1,ipv4,1345.26,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | newTrackon all | newTrackon stable | ngosang all,public,anime,BEP 15 connect response
udp://retracker01-msk-virt.corbina.net:80/announce,alive,udp,retracker01-msk-virt.corbina.net,80,189.5,ipv4,1345.23,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | newTrackon all | ngosang all,public,anime,BEP 15 connect response
udp://exodus.desync.com:6969/announce,alive,udp,exodus.desync.com,6969,29.0,ipv4,1317.38,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | ngosang all,public,,BEP 15 connect response
udp://torrentclub.online:1984/announce,alive,udp,torrentclub.online,1984,64.5,ipv4,1317.01,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,BEP 15 connect response
udp://ns575949.ip-51-222-82.net:6969/announce,alive,udp,ns575949.ip-51-222-82.net,6969,66.2,ipv4,1315.8,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,BEP 15 connect response
udp://tr4ck3r.duckdns.org:6969/announce,alive,udp,tr4ck3r.duckdns.org,6969,69.8,ipv4,1315.59,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,BEP 15 connect response
udp://explodie.org:6969/announce,alive,udp,explodie.org,6969,60.8,ipv4,1315.26,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | ngosang all,public,,BEP 15 connect response
udp://tracker.publictracker.xyz:6969/announce,alive,udp,tracker.publictracker.xyz,6969,145.1,ipv4,1309.22,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | ngosang all,public,anime,BEP 15 connect response
udp://martin-gebhardt.eu:25/announce,alive,udp,martin-gebhardt.eu,25,154.4,ipv4,1308.11,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,BEP 15 connect response
udp://tracker.teambelgium.net:6969/announce,alive,udp,tracker.teambelgium.net,6969,148.4,ipv4,1307.42,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,BEP 15 connect response
udp://tracker.peerfect.org:6969/announce,alive,udp,tracker.peerfect.org,6969,169.7,ipv4,1306.39,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,BEP 15 connect response
udp://tracker2.dler.org:80/announce,alive,udp,tracker2.dler.org,80,130.7,ipv4,1306.11,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | ngosang all,public,anime,BEP 15 connect response
udp://tracker.dler.org:6969/announce,alive,udp,tracker.dler.org,6969,130.9,ipv4,1305.99,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | ngosang all,public,anime,BEP 15 connect response
udp://tracker.dler.com:6969/announce,alive,udp,tracker.dler.com,6969,130.0,ipv4,1305.33,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | newTrackon all | newTrackon stable,public,anime,BEP 15 connect response
udp://tracker.ilibr.org:6969/announce,alive,udp,tracker.ilibr.org,6969,172.9,ipv4,1304.67,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,BEP 15 connect response
